Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_002880195.1	ASM288019v1	Vibrio parahaemolyticus		ND15					NCBI Prokaryotic Genome Annotation Pipeline	5479136	Contig	2018-01-15	POBF01	5190
GCA_002880215.1	ASM288021v1	Vibrio parahaemolyticus		ND14					NCBI Prokaryotic Genome Annotation Pipeline	5477710	Contig	2018-01-15	POBG01	5180
GCA_002880225.1	ASM288022v1	Vibrio parahaemolyticus		ND13					NCBI Prokaryotic Genome Annotation Pipeline	5510625	Contig	2018-01-15	POBH01	5251
GCA_002880255.1	ASM288025v1	Vibrio parahaemolyticus		ND12					NCBI Prokaryotic Genome Annotation Pipeline	5502347	Contig	2018-01-15	POBI01	5240
GCA_002880275.1	ASM288027v1	Vibrio parahaemolyticus		ND11					NCBI Prokaryotic Genome Annotation Pipeline	5583062	Contig	2018-01-15	POBJ01	5336
GCA_002880295.1	ASM288029v1	Vibrio parahaemolyticus		NB13					NCBI Prokaryotic Genome Annotation Pipeline	5477816	Contig	2018-01-15	POBK01	5184
GCA_002880315.1	ASM288031v1	Vibrio parahaemolyticus		NB11					NCBI Prokaryotic Genome Annotation Pipeline	5477344	Contig	2018-01-15	POBM01	5196
GCA_002880335.1	ASM288033v1	Vibrio parahaemolyticus		NB12					NCBI Prokaryotic Genome Annotation Pipeline	5467471	Contig	2018-01-15	POBL01	5161
GCA_002880355.1	ASM288035v1	Vibrio parahaemolyticus		NB09					NCBI Prokaryotic Genome Annotation Pipeline	5469020	Contig	2018-01-15	POBO01	5183
GCA_002880375.1	ASM288037v1	Vibrio parahaemolyticus		NB08					NCBI Prokaryotic Genome Annotation Pipeline	5478290	Contig	2018-01-15	POBP01	5189
GCA_002880385.1	ASM288038v1	Vibrio parahaemolyticus		NB10					NCBI Prokaryotic Genome Annotation Pipeline	5476550	Contig	2018-01-15	POBN01	5184
GCA_002880415.1	ASM288041v1	Vibrio parahaemolyticus		NA7					NCBI Prokaryotic Genome Annotation Pipeline	5054162	Contig	2018-01-15	POBT01	4889
GCA_002880435.1	ASM288043v1	Vibrio parahaemolyticus		NA9					NCBI Prokaryotic Genome Annotation Pipeline	5067933	Contig	2018-01-15	POBR01	4879
GCA_002880455.1	ASM288045v1	Vibrio parahaemolyticus		NB07					NCBI Prokaryotic Genome Annotation Pipeline	5478346	Contig	2018-01-15	POBQ01	5186
GCA_002880475.1	ASM288047v1	Vibrio parahaemolyticus		NA4					NCBI Prokaryotic Genome Annotation Pipeline	5066938	Contig	2018-01-15	POBV01	4885
GCA_002880495.1	ASM288049v1	Vibrio parahaemolyticus		NA6					NCBI Prokaryotic Genome Annotation Pipeline	5471629	Contig	2018-01-15	POBU01	5183
GCA_002880505.1	ASM288050v1	Vibrio parahaemolyticus		MVP10					NCBI Prokaryotic Genome Annotation Pipeline	5004679	Contig	2018-01-15	POBX01	4793
GCA_002880535.1	ASM288053v1	Vibrio parahaemolyticus		NA8					NCBI Prokaryotic Genome Annotation Pipeline	5475522	Contig	2018-01-15	POBS01	5179
GCA_002880555.1	ASM288055v1	Vibrio parahaemolyticus		MVP5					NCBI Prokaryotic Genome Annotation Pipeline	5305785	Contig	2018-01-15	POBY01	5116
GCA_002880575.1	ASM288057v1	Vibrio parahaemolyticus		NA1					NCBI Prokaryotic Genome Annotation Pipeline	5508582	Contig	2018-01-15	POBW01	5243
GCA_002880595.1	ASM288059v1	Vibrio parahaemolyticus		MVP3					NCBI Prokaryotic Genome Annotation Pipeline	5341152	Contig	2018-01-15	POBZ01	5128
GCA_002887545.1	ASM288754v1	Vibrio parahaemolyticus		PSU5579						5229426	Contig	2018-01-17	PEBT01	
GCA_002887615.1	ASM288761v1	Vibrio jasicida 090810c		090810c						5989523	Complete Genome	2018-01-17		
GCA_002887655.1	ASM288765v1	Vibrio owensii		051011B						6261380	Complete Genome	2018-01-17		
GCA_002890525.1	ASM289052v1	Vibrio cholerae		11116						4059991	Contig	2018-01-17	MDYK01	
GCA_002891685.1	ASM289168v1	Vibrio vulnificus		CECT 5769					NCBI Prokaryotic Genome Annotation Pipeline	5166781	Contig	2018-01-19	LABF01	4556
GCA_002891755.1	ASM289175v1	Vibrio vulnificus		CECT4606					NCBI Prokaryotic Genome Annotation Pipeline	5191663	Contig	2018-01-18	LAXL01	4676
GCA_002891785.1	ASM289178v1	Vibrio vulnificus		CIP8190					NCBI Prokaryotic Genome Annotation Pipeline	4874818	Contig	2018-01-19	LAXM01	4158
GCA_002891805.1	ASM289180v1	Vibrio vulnificus		94-8-112					NCBI Prokaryotic Genome Annotation Pipeline	5164702	Contig	2018-01-19	LAXN01	4383
GCA_002892625.1	ASM289262v1	Vibrio vulnificus		CECT5198						4989756	Contig	2018-01-19	LAZW01	
GCA_002892785.1	ASM289278v1	Vibrio diazotrophicus		60.6B					NCBI Prokaryotic Genome Annotation Pipeline	4543538	Contig	2018-01-19	POSH01	4070
GCA_002892855.1	ASM289285v1	Vibrio cholerae		A1552					NCBI Prokaryotic Genome Annotation Pipeline	4085463	Complete Genome	2018-01-19		3772
GCA_002892885.1	ASM289288v1	Vibrio diazotrophicus		60.6F					NCBI Prokaryotic Genome Annotation Pipeline	4747742	Contig	2018-01-19	POSI01	4240
GCA_002892905.1	ASM289290v1	Vibrio diazotrophicus		60.18M					NCBI Prokaryotic Genome Annotation Pipeline	4544576	Scaffold	2018-01-19	POSJ01	4038
GCA_002892925.1	ASM289292v1	Vibrio diazotrophicus		65.7M					NCBI Prokaryotic Genome Annotation Pipeline	4606601	Scaffold	2018-01-19	POSL01	4118
GCA_002892945.1	ASM289294v1	Vibrio diazotrophicus		60.27F					NCBI Prokaryotic Genome Annotation Pipeline	4691444	Scaffold	2018-01-19	POSK01	4221
GCA_002892965.1	ASM289296v1	Vibrio diazotrophicus		65.10M					NCBI Prokaryotic Genome Annotation Pipeline	4824458	Scaffold	2018-01-19	POSM01	4352
GCA_002893865.1	ASM289386v1	Vibrio campbellii		151112C						5821717	Chromosome	2018-01-21		
GCA_002894965.1	ASM289496v1	Vibrio agarivorans		CAIM 1911					NCBI Prokaryotic Genome Annotation Pipeline	4500445	Scaffold	2018-01-22	POWH01	4191
GCA_002899735.1	ASM289973v1	Vibrio cholerae		IDH-06787					NCBI Prokaryotic Genome Annotation Pipeline	4404109	Contig	2018-01-25	POTE01	3961
GCA_002901125.1	ASM290112v1	Vibrio anguillarum		M93						3968196	Scaffold	2018-01-26	NOWD01	
GCA_002903205.1	ASM290320v1	Vibrio vulnificus		SS108-A3A					NCBI Prokaryotic Genome Annotation Pipeline	4960008	Contig	2018-01-29	PDFR01	4613
GCA_002903245.1	ASM290324v1	Vibrio vulnificus		SREL214					NCBI Prokaryotic Genome Annotation Pipeline	5031435	Contig	2018-01-29	PDFS01	4496
GCA_002903265.1	ASM290326v1	Vibrio vulnificus		SREL119					NCBI Prokaryotic Genome Annotation Pipeline	5038407	Contig	2018-01-29	PDFT01	4678
GCA_002903285.1	ASM290328v1	Vibrio vulnificus		S3-16					NCBI Prokaryotic Genome Annotation Pipeline	4961926	Contig	2018-01-29	PDFU01	4589
GCA_002903325.1	ASM290332v1	Vibrio vulnificus		S2-22					NCBI Prokaryotic Genome Annotation Pipeline	4889231	Contig	2018-01-29	PDFV01	4369
GCA_002903345.1	ASM290334v1	Vibrio vulnificus		Ra3					NCBI Prokaryotic Genome Annotation Pipeline	3732861	Contig	2018-01-29	PDNG01	3260
GCA_002903365.1	ASM290336v1	Vibrio vulnificus		PD-2-51					NCBI Prokaryotic Genome Annotation Pipeline	5139941	Contig	2018-01-29	PDFX01	4675
GCA_002903375.1	ASM290337v1	Vibrio vulnificus		LSU1657					NCBI Prokaryotic Genome Annotation Pipeline	6408415	Contig	2018-01-29	PDFZ01	6880
GCA_002903395.1	ASM290339v1	Vibrio vulnificus		FLA112					NCBI Prokaryotic Genome Annotation Pipeline	4907219	Contig	2018-01-29	PDGB01	4483
GCA_002903415.1	ASM290341v1	Vibrio vulnificus		FLA114					NCBI Prokaryotic Genome Annotation Pipeline	4868082	Contig	2018-01-29	PDGA01	4399
GCA_002903465.1	ASM290346v1	Vibrio vulnificus		CG100					NCBI Prokaryotic Genome Annotation Pipeline	5209370	Contig	2018-01-29	PDGD01	4638
GCA_002903505.1	ASM290350v1	Vibrio vulnificus		CECT7030					NCBI Prokaryotic Genome Annotation Pipeline	5105270	Contig	2018-01-29	PDGF01	4652
GCA_002903525.1	ASM290352v1	Vibrio vulnificus		CECT4865					NCBI Prokaryotic Genome Annotation Pipeline	5007338	Contig	2018-01-29	PDGG01	4455
GCA_002903545.1	ASM290354v1	Vibrio vulnificus		AB17-319					NCBI Prokaryotic Genome Annotation Pipeline	5175101	Contig	2018-01-29	PDGJ01	4815
GCA_002903555.1	ASM290355v1	Vibrio vulnificus		A14					NCBI Prokaryotic Genome Annotation Pipeline	5054780	Contig	2018-01-29	PDGK01	4594
GCA_002903585.1	ASM290358v1	Vibrio vulnificus		CECT4604					NCBI Prokaryotic Genome Annotation Pipeline	5053723	Contig	2018-01-29	PDGI01	4508
GCA_002903605.1	ASM290360v1	Vibrio vulnificus		960426-1_4C					NCBI Prokaryotic Genome Annotation Pipeline	5075815	Contig	2018-01-29	PDGL01	4624
GCA_002903625.1	ASM290362v1	Vibrio vulnificus		94-9-119					NCBI Prokaryotic Genome Annotation Pipeline	4893519	Contig	2018-01-29	PDGO01	4380
GCA_002903635.1	ASM290363v1	Vibrio vulnificus		95-8-6					NCBI Prokaryotic Genome Annotation Pipeline	4395515	Contig	2018-01-29	PDNE01	3959
GCA_002903645.1	ASM290364v1	Vibrio vulnificus		106-2A					NCBI Prokaryotic Genome Annotation Pipeline	4947438	Contig	2018-01-29	PDGP01	4542
GCA_002903685.1	ASM290368v1	Vibrio vulnificus		R02					NCBI Prokaryotic Genome Annotation Pipeline	5849180	Contig	2018-01-29	PDFW01	6580
GCA_002903695.1	ASM290369v1	Vibrio vulnificus		94385					NCBI Prokaryotic Genome Annotation Pipeline	5021030	Contig	2018-01-29	PDGQ01	4500
GCA_002903725.1	ASM290372v1	Vibrio vulnificus		LSU2098					NCBI Prokaryotic Genome Annotation Pipeline	4870036	Contig	2018-01-29	PDFY01	4386
GCA_002903735.1	ASM290373v1	Vibrio vulnificus Env1		Env1					NCBI Prokaryotic Genome Annotation Pipeline	4850197	Contig	2018-01-29	PDGC01	4393
GCA_002903765.1	ASM290376v1	Vibrio vulnificus		CECT898					NCBI Prokaryotic Genome Annotation Pipeline	5196270	Contig	2018-01-29	PDGE01	4637
GCA_002903785.1	ASM290378v1	Vibrio vulnificus		CECT4608					NCBI Prokaryotic Genome Annotation Pipeline	5431368	Contig	2018-01-29	PDGH01	4972
GCA_002903805.1	ASM290380v1	Vibrio vulnificus		95-8-7					NCBI Prokaryotic Genome Annotation Pipeline	5246654	Contig	2018-01-29	PDGM01	5092
GCA_002903825.1	ASM290382v1	Vibrio vulnificus		95-8-161					NCBI Prokaryotic Genome Annotation Pipeline	5090423	Contig	2018-01-29	PDGN01	4639
GCA_002903845.1	ASM290384v1	Vibrio vulnificus		94-8-112					NCBI Prokaryotic Genome Annotation Pipeline	4326673	Contig	2018-01-29	PDNF01	3828
GCA_002903865.1	ASM290386v1	Vibrio vulnificus		162					NCBI Prokaryotic Genome Annotation Pipeline	5125837	Contig	2018-01-29	PDGR01	4511
GCA_002903885.1	ASM290388v1	Vibrio vulnificus		32					NCBI Prokaryotic Genome Annotation Pipeline	5129873	Contig	2018-01-29	PDGS01	4553
GCA_002906235.1	ASM290623v1	Vibrio vulnificus		Riu1					NCBI Prokaryotic Genome Annotation Pipeline	4308995	Contig	2018-01-29	PDNR01	4081
GCA_002906245.1	ASM290624v1	Vibrio vulnificus		LSU1015					NCBI Prokaryotic Genome Annotation Pipeline	5586903	Contig	2018-01-29	PDNQ01	6080
GCA_002906265.1	ASM290626v1	Vibrio vulnificus		C7184					NCBI Prokaryotic Genome Annotation Pipeline	4559113	Scaffold	2018-01-29	PDNP01	4138
GCA_002906455.1	ASM290645v1	Vibrio campbellii		BoB-90					NCBI Prokaryotic Genome Annotation Pipeline	6171067	Complete Genome	2018-01-30		5485
GCA_002906475.1	ASM290647v1	Vibrio campbellii		BoB-53					NCBI Prokaryotic Genome Annotation Pipeline	5425575	Complete Genome	2018-01-30		4836
GCA_002906655.1	ASM290665v1	Vibrio hyugaensis		090810a						5612082	Complete Genome	2018-01-17		
GCA_002911455.1	ASM291145v1	Vibrio cholerae		5879					NCBI Prokaryotic Genome Annotation Pipeline	3982623	Scaffold	2018-01-31	PQBQ01	3699
GCA_002918335.1	ASM291833v1	Vibrio cholerae		146P					NCBI Prokaryotic Genome Annotation Pipeline	4012364	Scaffold	2018-02-06	PQCV01	3691
GCA_002918345.1	ASM291834v1	Vibrio cholerae		146N					NCBI Prokaryotic Genome Annotation Pipeline	4014421	Scaffold	2018-02-06	PQCW01	3691
GCA_002929865.1	ASM292986v1	Vibrio hyugaensis		270813R						5622813	Scaffold	2018-02-14	PKND01	
GCA_002929885.1	ASM292988v1	Vibrio hyugaensis		270813M						5805699	Scaffold	2018-02-14	PKNE01	
GCA_002929905.1	ASM292990v1	Vibrio jasicida		MWB 30						5928303	Scaffold	2018-02-14	PKNF01	
GCA_002929925.1	ASM292992v1	Vibrio jasicida		M3						5909950	Scaffold	2018-02-14	PKNG01	
GCA_002929935.1	ASM292993v1	Vibrio jasicida		idb.1.4						5814615	Scaffold	2018-02-14	PKNH01	
GCA_002929945.1	ASM292994v1	Vibrio jasicida		GB-215						5962064	Scaffold	2018-02-14	PKNI01	
GCA_002929985.1	ASM292998v1	Vibrio jasicida		fram1						6089772	Scaffold	2018-02-14	PKNJ01	
GCA_002930005.1	ASM293000v1	Vibrio jasicida		CECT 7692						5914347	Scaffold	2018-02-14	PKNK01	
GCA_002930015.1	ASM293001v1	Vibrio jasicida		B-356						5838255	Scaffold	2018-02-14	PKNL01	
GCA_002930045.1	ASM293004v1	Vibrio jasicida		270813B						6165807	Scaffold	2018-02-14	PKNM01	
GCA_002933855.1	ASM293385v1	Vibrio penaeicida		TUMSAT-NU1						6412606	Scaffold	2018-02-03	BFAQ01	
GCA_002934045.1	ASM293404v1	Vibrio gangliei		SZDIS-1						3611929	Scaffold	2018-02-21	PPSN01	
GCA_002946655.1	ASM294665v1	Vibrio cholerae O1 biovar El Tor		HC1037					NCBI Prokaryotic Genome Annotation Pipeline	4061419	Complete Genome	2018-02-22		3719
GCA_002953335.1	ASM295333v1	Vibrio diabolicus		FDAARGOS_96					NCBI Prokaryotic Genome Annotation Pipeline	5173621	Complete Genome	2018-02-20		4606
GCA_002953355.1	ASM295335v1	Vibrio diabolicus		LMG 3418					NCBI Prokaryotic Genome Annotation Pipeline	5131801	Complete Genome	2018-02-22		4669
GCA_002953375.1	ASM295337v1	Vibrio fluvialis		FDAARGOS_100					NCBI Prokaryotic Genome Annotation Pipeline	4867548	Complete Genome	2018-02-22		4396
GCA_002953395.1	ASM295339v1	Vibrio diabolicus		FDAARGOS_105					NCBI Prokaryotic Genome Annotation Pipeline	5426154	Complete Genome	2018-02-20		4882
GCA_002953515.1	ASM295351v1	Vibrio alginolyticus		FDAARGOS_108					NCBI Prokaryotic Genome Annotation Pipeline	5446027	Complete Genome	2018-02-20		4865
GCA_002953535.1	ASM295353v1	Vibrio alginolyticus		FDAARGOS_110					NCBI Prokaryotic Genome Annotation Pipeline	5268677	Complete Genome	2018-02-20		4778
GCA_002953975.1	ASM295397v1	Vibrio alginolyticus		FDAARGOS_114					NCBI Prokaryotic Genome Annotation Pipeline	5178268	Complete Genome	2018-02-20		4647
GCA_002954485.1	ASM295448v1	Vibrio campbellii		LC1-863					NCBI Prokaryotic Genome Annotation Pipeline	5141893	Scaffold	2018-02-27	MSCD01	3372
GCA_002954505.1	ASM295450v1	Vibrio campbellii		ABR2-13					NCBI Prokaryotic Genome Annotation Pipeline	5410489	Scaffold	2018-02-27	MSCE01	4462
GCA_002954525.1	ASM295452v1	Vibrio jasicida		ABR3-11					NCBI Prokaryotic Genome Annotation Pipeline	6326035	Scaffold	2018-02-27	MSCF01	5584
GCA_002954555.1	ASM295455v1	Vibrio splendidus		ORI231					NCBI Prokaryotic Genome Annotation Pipeline	5535918	Scaffold	2018-02-27	MSCG01	4819
GCA_002954585.1	ASM295458v1	Vibrio chagasii		LC2-408					NCBI Prokaryotic Genome Annotation Pipeline	5008364	Scaffold	2018-02-27	MSCI01	4378
GCA_002995435.1	ASM299543v1	Vibrio sp. V01_P9A10T6		V01_P9A10T6					NCBI Prokaryotic Genome Annotation Pipeline	3751213	Scaffold	2018-03-13	MTIN01	3346
GCA_002995655.1	ASM299565v1	Vibrio mediterranei		17LN0615E					NCBI Prokaryotic Genome Annotation Pipeline	5877037	Contig	2018-03-14	NWTN01	5333
GCA_002997215.1	ASM299721v1	Vibrio cholerae		A1552					Annotation submitted by Leibniz Institute DSMZ	4085460	Complete Genome	2018-03-14		3589
GCA_003006755.1	ASM300675v1	Vibrio sp. V02_P2A34T13		V02_P2A34T13					NCBI Prokaryotic Genome Annotation Pipeline	3695193	Scaffold	2018-03-17	PXJL01	3301
GCA_003013485.1	ASM301348v1	Vibrio cholerae		2044					NCBI Prokaryotic Genome Annotation Pipeline	4045779	Contig	2018-03-21	PXZC01	3828
GCA_003015005.1	ASM301500v1	Vibrio cholerae		186					NCBI Prokaryotic Genome Annotation Pipeline	4019066	Contig	2018-03-25	PYBQ01	3688
GCA_003030845.1	ASM303084v1	Vibrio mediterranei		V7A					NCBI Prokaryotic Genome Annotation Pipeline	5657141	Contig	2018-04-02	PYVE01	5108
GCA_003031205.1	ASM303120v1	Vibrio anguillarum		425					NCBI Prokaryotic Genome Annotation Pipeline	4373373	Complete Genome	2018-04-03		3800
GCA_003047085.1	ASM304708v1	Vibrio parahaemolyticus		S107-1					NCBI Prokaryotic Genome Annotation Pipeline	5203326	Complete Genome	2018-04-10		4688
GCA_003047125.1	ASM304712v1	Vibrio vulnificus Env1		Env1					NCBI Prokaryotic Genome Annotation Pipeline	4954048	Complete Genome	2018-04-10		4138
GCA_003049845.1	ASM304984v1	Vibrio splendidus		ZS_58					NCBI Prokaryotic Genome Annotation Pipeline	5357620	Contig	2018-04-12	PIEY01	4586
GCA_003049855.1	ASM304985v1	Vibrio splendidus		ZS_185					NCBI Prokaryotic Genome Annotation Pipeline	5441309	Contig	2018-04-12	PIFD01	4672
GCA_003049865.1	ASM304986v1	Vibrio splendidus		ZF_41					NCBI Prokaryotic Genome Annotation Pipeline	5733793	Contig	2018-04-12	PIEV01	4949
GCA_003049905.1	ASM304990v1	Vibrio splendidus		ZS_183					NCBI Prokaryotic Genome Annotation Pipeline	5341905	Contig	2018-04-12	PIFE01	4548
GCA_003049925.1	ASM304992v1	Vibrio splendidus		ZS_213					NCBI Prokaryotic Genome Annotation Pipeline	5456227	Contig	2018-04-12	PIEZ01	4673
GCA_003049945.1	ASM304994v1	Vibrio splendidus		ZS_107					NCBI Prokaryotic Genome Annotation Pipeline	5451996	Contig	2018-04-12	PIFJ01	4623
GCA_003049965.1	ASM304996v1	Vibrio splendidus		FF_144					NCBI Prokaryotic Genome Annotation Pipeline	5875598	Contig	2018-04-12	PIFK01	5045
GCA_003049975.1	ASM304997v1	Vibrio splendidus		ZS_138					NCBI Prokaryotic Genome Annotation Pipeline	5332557	Contig	2018-04-12	PIFH01	4590
GCA_003050005.1	ASM305000v1	Vibrio splendidus		ZS_117					NCBI Prokaryotic Genome Annotation Pipeline	5340706	Contig	2018-04-12	PIFI01	4552
GCA_003050025.1	ASM305002v1	Vibrio splendidus		1S_129					NCBI Prokaryotic Genome Annotation Pipeline	5350292	Contig	2018-04-12	PIFY01	4587
GCA_003050045.1	ASM305004v1	Vibrio splendidus		1F_55					NCBI Prokaryotic Genome Annotation Pipeline	5732267	Contig	2018-04-12	PIGA01	4902
GCA_003050065.1	ASM305006v1	Vibrio sp. 10N.286.51.C3		10N.286.51.C3					NCBI Prokaryotic Genome Annotation Pipeline	5178714	Contig	2018-04-12	PIGC01	4453
GCA_003050085.1	ASM305008v1	Vibrio sp. 10N.286.48.B8		10N.286.48.B8					NCBI Prokaryotic Genome Annotation Pipeline	5222840	Contig	2018-04-12	PIGD01	4521
GCA_003050105.1	ASM305010v1	Vibrio sp. 10N.286.45.A3		10N.286.45.A3					NCBI Prokaryotic Genome Annotation Pipeline	5457678	Contig	2018-04-12	PIGF01	4691
GCA_003050125.1	ASM305012v1	Vibrio splendidus		ZS_90					NCBI Prokaryotic Genome Annotation Pipeline	5370660	Contig	2018-04-12	PIEW01	4605
GCA_003050145.1	ASM305014v1	Vibrio splendidus		ZS_211					NCBI Prokaryotic Genome Annotation Pipeline	5535057	Contig	2018-04-12	PIFA01	4776
GCA_003050165.1	ASM305016v1	Vibrio splendidus		ZS_2					NCBI Prokaryotic Genome Annotation Pipeline	5461378	Contig	2018-04-12	PIFB01	4657
GCA_003050175.1	ASM305017v1	Vibrio splendidus		ZS_82					NCBI Prokaryotic Genome Annotation Pipeline	5373700	Contig	2018-04-12	PIEX01	4619
GCA_003050205.1	ASM305020v1	Vibrio splendidus		ZS_198					NCBI Prokaryotic Genome Annotation Pipeline	5380622	Contig	2018-04-12	PIFC01	4606
GCA_003050225.1	ASM305022v1	Vibrio splendidus		ZS_173					NCBI Prokaryotic Genome Annotation Pipeline	5478817	Contig	2018-04-12	PIFG01	4648
GCA_003050245.1	ASM305024v1	Vibrio splendidus		ZS_181					NCBI Prokaryotic Genome Annotation Pipeline	5270472	Contig	2018-04-12	PIFF01	4507
GCA_003050255.1	ASM305025v1	Vibrio splendidus		5S_57					NCBI Prokaryotic Genome Annotation Pipeline	5402029	Contig	2018-04-12	PIFM01	4639
GCA_003050285.1	ASM305028v1	Vibrio splendidus		5S_283					NCBI Prokaryotic Genome Annotation Pipeline	5320301	Contig	2018-04-12	PIFN01	4549
GCA_003050305.1	ASM305030v1	Vibrio splendidus		FF_139					NCBI Prokaryotic Genome Annotation Pipeline	5822805	Contig	2018-04-12	PIFL01	4953
GCA_003050315.1	ASM305031v1	Vibrio splendidus		5S_272					NCBI Prokaryotic Genome Annotation Pipeline	5341876	Contig	2018-04-12	PIFP01	4564
GCA_003050345.1	ASM305034v1	Vibrio splendidus		5S_226					NCBI Prokaryotic Genome Annotation Pipeline	5329461	Contig	2018-04-12	PIFS01	4584
GCA_003050355.1	ASM305035v1	Vibrio splendidus		5S_279					NCBI Prokaryotic Genome Annotation Pipeline	5387455	Contig	2018-04-12	PIFO01	4632
GCA_003050385.1	ASM305038v1	Vibrio splendidus		5S_245					NCBI Prokaryotic Genome Annotation Pipeline	5298000	Contig	2018-04-12	PIFQ01	4537
GCA_003050405.1	ASM305040v1	Vibrio splendidus		5S_122					NCBI Prokaryotic Genome Annotation Pipeline	5503948	Contig	2018-04-12	PIFU01	4714
GCA_003050425.1	ASM305042v1	Vibrio splendidus		5S_238					NCBI Prokaryotic Genome Annotation Pipeline	5406706	Contig	2018-04-12	PIFR01	4578
GCA_003050445.1	ASM305044v1	Vibrio splendidus		5S_210					NCBI Prokaryotic Genome Annotation Pipeline	5279504	Contig	2018-04-12	PIFT01	4522
GCA_003050465.1	ASM305046v1	Vibrio splendidus		1S_296					NCBI Prokaryotic Genome Annotation Pipeline	5394028	Scaffold	2018-04-12	PIFV01	4642
GCA_003050485.1	ASM305048v1	Vibrio splendidus		1S_14					NCBI Prokaryotic Genome Annotation Pipeline	5323847	Contig	2018-04-12	PIFX01	4534
GCA_003050505.1	ASM305050v1	Vibrio splendidus		1S_113					NCBI Prokaryotic Genome Annotation Pipeline	5316465	Contig	2018-04-12	PIFZ01	4546
GCA_003050545.1	ASM305054v1	Vibrio splendidus		1S_146					NCBI Prokaryotic Genome Annotation Pipeline	5384964	Contig	2018-04-12	PIFW01	4644
GCA_003050585.1	ASM305058v1	Vibrio sp. ZF 223		ZF 223					NCBI Prokaryotic Genome Annotation Pipeline	5138901	Contig	2018-04-12	PIGB01	4445
GCA_003050605.1	ASM305060v1	Vibrio sp. 10N.286.46.E10		10N.286.46.E10					NCBI Prokaryotic Genome Annotation Pipeline	5369621	Contig	2018-04-12	PIGE01	4583
GCA_003056625.1	ASM305662v1	Vibrio parahaemolyticus		VPF-3						5154611	Contig	2018-04-18	PXIW01	
GCA_003056645.1	ASM305664v1	Vibrio parahaemolyticus		VPF-4						5110628	Contig	2018-04-18	PXIX01	
GCA_003056665.1	ASM305666v1	Vibrio parahaemolyticus		VPF-6						5153568	Contig	2018-04-18	PXIZ01	
GCA_003056675.1	ASM305667v1	Vibrio parahaemolyticus		VPF-1						5106532	Contig	2018-04-18	PXIU01	
GCA_003056705.1	ASM305670v1	Vibrio cholerae		20-a_11						4111774	Contig	2018-04-18	PYAR01	
GCA_003056745.1	ASM305674v1	Vibrio parahaemolyticus		VPF-7						5107633	Contig	2018-04-18	PXJA01	
GCA_003056955.1	ASM305695v1	Vibrio cholerae		M1425						4025851	Contig	2018-04-18	PYBZ01	
GCA_003056975.1	ASM305697v1	Vibrio cholerae		2688						3970206	Contig	2018-04-18	PYCC01	
GCA_003056995.1	ASM305699v1	Vibrio cholerae		M1332						3975667	Contig	2018-04-18	PYCE01	
GCA_003057015.1	ASM305701v1	Vibrio cholerae		8						3903289	Contig	2018-04-18	PYCF01	
GCA_003057035.1	ASM305703v1	Vibrio cholerae		3178						3998812	Contig	2018-04-18	PYCH01	
GCA_003057055.1	ASM305705v1	Vibrio cholerae		2613						3967932	Contig	2018-04-18	PYCA01	
GCA_003057075.1	ASM305707v1	Vibrio cholerae		2687						3966695	Contig	2018-04-18	PYCB01	
